Entity,Code,Year,Share of education in government expenditure (World Bank (2015)) (% Total Expenditure)
Bulgaria,BGR,2006,12.01048
Bulgaria,BGR,2007,11.11392
Bulgaria,BGR,2008,12.61226
Bulgaria,BGR,2009,12.65675
Bulgaria,BGR,2010,11.16342
Bulgaria,BGR,2011,11.10005
Bulgaria,BGR,2012,10.69092
Burkina Faso,BFA,2005,19.49419
Burkina Faso,BFA,2006,18.2017
Burkina Faso,BFA,2007,17.86382
Burkina Faso,BFA,2010,17.25072
Burkina Faso,BFA,2011,20.31371
Burkina Faso,BFA,2012,15.89539
Burkina Faso,BFA,2013,16.16524
Burundi,BDI,1999,13.51864
Burundi,BDI,2000,13.43737
Burundi,BDI,2001,14.1125
Burundi,BDI,2002,15.23766
Burundi,BDI,2004,12.95883
Burundi,BDI,2005,13.87042
Burundi,BDI,2008,12.61554
Burundi,BDI,2009,16.30169
Burundi,BDI,2010,16.58808
Burundi,BDI,2011,14.97923
Burundi,BDI,2012,16.42836
Burundi,BDI,2013,17.24324
Cambodia,KHM,1998,9.39199
Cambodia,KHM,2000,11.079
Cambodia,KHM,2001,11.38079
Cambodia,KHM,2002,10.13756
Cambodia,KHM,2004,12.40428
Cambodia,KHM,2007,11.20705
Cambodia,KHM,2010,13.08358
Cameroon,CMR,2000,11.68372
Cameroon,CMR,2001,15.48909
Cameroon,CMR,2003,21.442
Cameroon,CMR,2004,20.84713
Cameroon,CMR,2005,21.37754
Cameroon,CMR,2006,20.31262
Cameroon,CMR,2007,21.56826
Cameroon,CMR,2008,15.58866
Cameroon,CMR,2009,19.77975
Cameroon,CMR,2010,18.75391
Cameroon,CMR,2011,14.86779
Cameroon,CMR,2012,15.17625
Cameroon,CMR,2013,13.82494
Canada,CAN,1998,12.52588
Canada,CAN,1999,12.44565
Canada,CAN,2000,12.74552
Canada,CAN,2001,12.32389
Canada,CAN,2002,12.23728
Canada,CAN,2005,12.32375
Canada,CAN,2007,12.42298
Canada,CAN,2008,12.06521
Canada,CAN,2009,12.42582
Canada,CAN,2010,12.29996
Canada,CAN,2011,12.18817
Cape Verde,CPV,1998,17.25592
Cape Verde,CPV,1999,16.76194
Cape Verde,CPV,2002,19.76623
Cape Verde,CPV,2004,20.84048
Cape Verde,CPV,2006,17.54058
Cape Verde,CPV,2007,18.32875
Cape Verde,CPV,2008,18.62308
Cape Verde,CPV,2009,16.16892
Cape Verde,CPV,2010,14.39624
Cape Verde,CPV,2011,15.15328
Cape Verde,CPV,2013,14.97774
Central African Republic,CAF,1999,8.94932
Central African Republic,CAF,2000,9.93077
Central African Republic,CAF,2002,9.21473
Central African Republic,CAF,2003,12.02802
Central African Republic,CAF,2004,12.06446
Central African Republic,CAF,2005,9.68047
Central African Republic,CAF,2006,10.05424
Central African Republic,CAF,2007,9.86948
Central African Republic,CAF,2008,7.86
Central African Republic,CAF,2009,7.83009
Central African Republic,CAF,2010,6.47538
Central African Republic,CAF,2011,7.82546
Chad,TCD,1997,12.89866
Chad,TCD,1998,11.07153
Chad,TCD,1999,17.05998
Chad,TCD,2000,12.84449
Chad,TCD,2001,13.78685
Chad,TCD,2004,11.0319
Chad,TCD,2005,14.67282
Chad,TCD,2009,9.54911
Chad,TCD,2010,8.11929
Chad,TCD,2011,10.08323
Chad,TCD,2013,12.46149
Chile,CHL,1997,14.44519
Chile,CHL,1998,15.12568
Chile,CHL,1999,15.63322
Chile,CHL,2000,16.40148
Chile,CHL,2002,17.40727
Chile,CHL,2003,17.60468
Chile,CHL,2004,16.97488
Chile,CHL,2005,16.12225
Chile,CHL,2006,16.15792
Chile,CHL,2007,16.64837
Chile,CHL,2008,17.47809
Chile,CHL,2009,17.1887
Chile,CHL,2010,17.51394
Chile,CHL,2011,17.5041
Chile,CHL,2012,19.2781
Chile,CHL,2013,19.07084
China,CHN,1998,14.55138
China,CHN,1999,12.63153
Colombia,COL,1998,12.47536
Colombia,COL,1999,13.15193
Colombia,COL,2000,13.28683
Colombia,COL,2001,13.46772
Colombia,COL,2002,15.29956
Colombia,COL,2003,15.53726
Colombia,COL,2004,15.43978
Colombia,COL,2005,15.53561
Colombia,COL,2006,13.76883
Colombia,COL,2007,14.48145
Colombia,COL,2008,14.6773
Colombia,COL,2009,16.08117
Colombia,COL,2010,16.41858
Colombia,COL,2011,15.52914
Colombia,COL,2012,15.51283
Colombia,COL,2013,16.91362
Colombia,COL,2014,15.85781
Comoros,COM,1998,17.13507
Comoros,COM,2002,15.78972
Comoros,COM,2008,29.23312
Comoros,COM,2011,21.41487
Comoros,COM,2012,18.49151
Congo,COG,1998,14.12653
Congo,COG,2002,11.59277
Congo,COG,2003,9.51995
Congo,COG,2004,8.56181
Congo,COG,2005,7.59782
Congo,COG,2010,29.01843
Costa Rica,CRI,1999,21.92369
Costa Rica,CRI,2000,18.81951
Costa Rica,CRI,2001,19.15282
Costa Rica,CRI,2002,19.2405
Costa Rica,CRI,2003,20.15172
Costa Rica,CRI,2004,20.43089
Cote d'Ivoire,CIV,1997,19.22015
Cote d'Ivoire,CIV,1998,18.81477
Cote d'Ivoire,CIV,1999,21.67118
Cote d'Ivoire,CIV,2000,20.80695
Cote d'Ivoire,CIV,2001,23.20203
Cote d'Ivoire,CIV,2002,22.59234
Cote d'Ivoire,CIV,2003,22.64824
Cote d'Ivoire,CIV,2004,22.10709
Cote d'Ivoire,CIV,2005,21.84566
Cote d'Ivoire,CIV,2006,20.5064
Cote d'Ivoire,CIV,2007,21.86688
Cote d'Ivoire,CIV,2008,21.94258
Cote d'Ivoire,CIV,2014,20.67385
Croatia,HRV,2002,7.96833
Croatia,HRV,2003,8.27336
Croatia,HRV,2004,8.19198
Croatia,HRV,2007,8.88328
Croatia,HRV,2008,9.62946
Croatia,HRV,2009,9.30367
Croatia,HRV,2010,9.08259
Croatia,HRV,2011,8.57615
Cyprus,CYP,1999,13.90828
Cyprus,CYP,2000,14.27602
Cyprus,CYP,2001,14.33211
Cyprus,CYP,2002,14.91421
Cyprus,CYP,2003,16.51523
Cyprus,CYP,2004,15.777
Cyprus,CYP,2005,15.74568
Cyprus,CYP,2006,16.09478
Cyprus,CYP,2007,16.60186
Cyprus,CYP,2008,17.48246
Cyprus,CYP,2009,17.12682
Cyprus,CYP,2010,15.68234
Cyprus,CYP,2011,15.53671
Czech Republic,CZE,1998,8.63671
Czech Republic,CZE,1999,8.99875
Czech Republic,CZE,2000,9.07353
Czech Republic,CZE,2001,8.83908
Czech Republic,CZE,2002,8.98813
Czech Republic,CZE,2003,8.5548
Czech Republic,CZE,2004,9.53951
Czech Republic,CZE,2005,9.32313
Czech Republic,CZE,2006,10.35338
Czech Republic,CZE,2007,9.69913
Czech Republic,CZE,2008,9.34464
Czech Republic,CZE,2009,9.58393
Czech Republic,CZE,2010,9.48043
Czech Republic,CZE,2011,10.09534
Czech Republic,CZE,2012,9.74072
Democratic Republic of Congo,COD,2010,8.97645
Democratic Republic of Congo,COD,2013,16.83461
Denmark,DNK,1998,14.63437
Denmark,DNK,1999,14.54371
Denmark,DNK,2000,15.34415
Denmark,DNK,2001,15.54854
Denmark,DNK,2002,15.43388
Denmark,DNK,2003,15.14175
Denmark,DNK,2004,15.48686
Denmark,DNK,2005,15.77934
Denmark,DNK,2006,15.51264
Denmark,DNK,2007,15.3567
Denmark,DNK,2008,14.83026
Denmark,DNK,2009,14.94417
Denmark,DNK,2010,15.10334
Denmark,DNK,2011,15.03621
Djibouti,DJI,1999,22.89607
Djibouti,DJI,2000,29.38595
Djibouti,DJI,2001,26.28002
Djibouti,DJI,2002,25.48931
Djibouti,DJI,2003,24.27149
Djibouti,DJI,2004,24.70114
Djibouti,DJI,2005,22.71505
Djibouti,DJI,2006,22.14541
Djibouti,DJI,2007,22.26884
Djibouti,DJI,2010,12.3284
Dominica,DMA,1998,17.1116
Dominica,DMA,1999,11.41962
Dominican Republic,DOM,2000,12.98848
Dominican Republic,DOM,2001,12.50729
Dominican Republic,DOM,2002,12.07972
Dominican Republic,DOM,2003,9.70181
Dominican Republic,DOM,2007,12.57788
Ecuador,ECU,1998,10.86149
Ecuador,ECU,1999,6.6746
Ecuador,ECU,2000,4.9643
Ecuador,ECU,2010,11.75183
Ecuador,ECU,2011,10.96467
Ecuador,ECU,2012,10.34829
Egypt,EGY,2003,14.04387
Egypt,EGY,2004,13.79283
Egypt,EGY,2005,14.42145
Egypt,EGY,2006,10.59623
Egypt,EGY,2007,10.44791
Egypt,EGY,2008,10.44253
El Salvador,SLV,1998,14.53233
El Salvador,SLV,1999,13.60802
El Salvador,SLV,2000,13.91002
El Salvador,SLV,2002,15.89931
El Salvador,SLV,2003,14.44008
El Salvador,SLV,2005,14.65582
El Salvador,SLV,2006,15.57183
El Salvador,SLV,2007,16.94065
El Salvador,SLV,2008,19.44883
El Salvador,SLV,2009,18.54698
El Salvador,SLV,2010,16.16422
El Salvador,SLV,2011,15.87258
Equatorial Guinea,GNQ,1998,5.24814
Eritrea,ERI,1998,6.25092
Eritrea,ERI,1999,5.56554
Eritrea,ERI,2001,5.86161
Eritrea,ERI,2002,5.63338
Eritrea,ERI,2004,5.74185
Eritrea,ERI,2006,5.16807
Estonia,EST,1997,17.85775
Estonia,EST,1998,16.16829
Estonia,EST,1999,16.50726
Estonia,EST,2000,14.81044
Estonia,EST,2001,15.05838
Estonia,EST,2002,15.28683
Estonia,EST,2003,15.18783
Estonia,EST,2004,14.48866
Estonia,EST,2005,14.52335
Estonia,EST,2007,13.87777
Estonia,EST,2008,14.15127
Estonia,EST,2009,13.45903
Estonia,EST,2010,13.6818
Estonia,EST,2011,13.41265
Estonia,EST,2012,12.05791
Ethiopia,ETH,2000,14.90773
Ethiopia,ETH,2001,14.46177
Ethiopia,ETH,2002,16.18775
Ethiopia,ETH,2006,23.97538
Ethiopia,ETH,2007,24.69945
Ethiopia,ETH,2008,26.35573
Ethiopia,ETH,2009,23.58375
Ethiopia,ETH,2010,26.30404
Ethiopia,ETH,2013,27.0211
Fiji,FJI,1998,17.87772
Fiji,FJI,1999,19.28934
Fiji,FJI,2000,20.48492
Fiji,FJI,2001,18.52476
Fiji,FJI,2002,19.95339
Fiji,FJI,2004,22.04252
Fiji,FJI,2005,18.76223
Fiji,FJI,2006,19.33155
Fiji,FJI,2007,21.4214
Fiji,FJI,2008,16.73676
Fiji,FJI,2009,15.35247
Fiji,FJI,2011,14.88946
Fiji,FJI,2013,14.03247
Finland,FIN,1999,11.76006
Finland,FIN,2000,12.17092
Finland,FIN,2001,12.63445
Finland,FIN,2002,12.68253
Finland,FIN,2003,12.77597
Finland,FIN,2004,12.77896
Finland,FIN,2005,12.2497
Finland,FIN,2006,12.28382
Finland,FIN,2007,12.15036
Finland,FIN,2008,12.11463
Finland,FIN,2009,11.83831
Finland,FIN,2010,11.94222
Finland,FIN,2011,11.92289
Finland,FIN,2012,12.81075
France,FRA,1998,10.81141
France,FRA,1999,10.84448
France,FRA,2000,10.78995
France,FRA,2001,10.57707
France,FRA,2002,10.34289
France,FRA,2003,10.84215
France,FRA,2004,10.73231
France,FRA,2005,10.40092
France,FRA,2006,10.3673
France,FRA,2007,10.42595
France,FRA,2008,10.27361
France,FRA,2009,10.10988
France,FRA,2010,10.06915
France,FRA,2011,9.86391
France,FRA,2012,9.73667
Gabon,GAB,1998,7.05813
Gabon,GAB,1999,11.34816
Gabon,GAB,2000,17.70649
Gambia,GMB,2000,11.9218
Gambia,GMB,2001,8.20527
Gambia,GMB,2002,8.80675
Gambia,GMB,2003,8.1835
Gambia,GMB,2004,4.77066
Gambia,GMB,2005,5.25027
Gambia,GMB,2006,5.36076
Gambia,GMB,2007,7.2975
Gambia,GMB,2008,18.41265
Gambia,GMB,2009,13.29374
Gambia,GMB,2010,17.61123
Gambia,GMB,2011,15.11833
Gambia,GMB,2012,13.8003
Gambia,GMB,2013,10.27583
Georgia,GEO,1998,10.85143
Georgia,GEO,1999,10.60486
Georgia,GEO,2000,12.54072
Georgia,GEO,2001,12.36196
Georgia,GEO,2002,13.60351
Georgia,GEO,2003,12.49294
Georgia,GEO,2004,15.03676
Georgia,GEO,2005,11.18125
Georgia,GEO,2006,12.89539
Georgia,GEO,2007,9.48665
Georgia,GEO,2008,8.9376
Georgia,GEO,2009,8.99825
Georgia,GEO,2011,9.26943
Georgia,GEO,2012,6.70776
Germany,DEU,1998,9.37684
Germany,DEU,2006,9.62531
Germany,DEU,2007,10.18212
Germany,DEU,2008,10.16083
Germany,DEU,2009,10.31754
Germany,DEU,2010,10.44703
Germany,DEU,2011,10.82095
Germany,DEU,2012,11.2171
Ghana,GHA,1999,14.8927
Ghana,GHA,2001,15.59659
Ghana,GHA,2004,22.37925
Ghana,GHA,2005,23.42996
Ghana,GHA,2006,24.16198
Ghana,GHA,2007,24.11957
Ghana,GHA,2008,23.60645
Ghana,GHA,2009,22.67599
Ghana,GHA,2010,21.24422
Ghana,GHA,2011,30.76981
Ghana,GHA,2012,37.68692
Ghana,GHA,2013,21.70402
Greece,GRC,1998,6.701
Greece,GRC,1999,6.90314
Greece,GRC,2000,7.07659
Greece,GRC,2001,7.70515
Greece,GRC,2002,7.91812
Greece,GRC,2003,7.9529
Greece,GRC,2004,8.42267
Greece,GRC,2005,9.17249
Grenada,GRD,2003,10.80899
Guatemala,GTM,2006,20.33845
Guatemala,GTM,2007,21.27816
Guatemala,GTM,2008,23.34816
Guatemala,GTM,2010,19.29692
Guatemala,GTM,2011,20.24641
Guatemala,GTM,2012,21.10514
Guatemala,GTM,2013,20.63795
Guinea,GIN,1999,14.65855
Guinea,GIN,2000,15.19597
Guinea,GIN,2001,10.31576
Guinea,GIN,2002,13.06433
Guinea,GIN,2003,11.62474
Guinea,GIN,2004,12.3133
Guinea,GIN,2005,10.94747
Guinea,GIN,2008,15.67827
Guinea,GIN,2009,13.5834
Guinea,GIN,2010,12.43832
Guinea,GIN,2011,14.25931
Guinea,GIN,2012,9.46061
Guinea,GIN,2013,14.13282
Guinea-Bissau,GNB,1999,16.7431
Guinea-Bissau,GNB,2010,9.96159
Guinea-Bissau,GNB,2011,10.55761
Guinea-Bissau,GNB,2012,14.5398
Guinea-Bissau,GNB,2013,16.19138
Guyana,GUY,1999,22.6878
Guyana,GUY,2000,17.65684
Guyana,GUY,2001,16.55556
Guyana,GUY,2002,16.90001
Guyana,GUY,2003,13.81456
Guyana,GUY,2004,11.08074
Guyana,GUY,2005,13.82344
Guyana,GUY,2006,13.48169
Guyana,GUY,2007,11.52616
Guyana,GUY,2009,10.34722
Guyana,GUY,2010,11.97244
Guyana,GUY,2011,11.82504
Guyana,GUY,2012,10.26061
Honduras,HND,2013,19.23051
Hong Kong,HKG,2001,22.41878
Hong Kong,HKG,2002,22.20729
Hong Kong,HKG,2003,23.24429
Hong Kong,HKG,2004,23.15106
Hong Kong,HKG,2005,22.47858
Hong Kong,HKG,2006,23.2826
Hong Kong,HKG,2007,22.63778
Hong Kong,HKG,2008,22.9224
Hong Kong,HKG,2009,23.79947
Hong Kong,HKG,2010,19.90941
Hong Kong,HKG,2011,20.14833
Hong Kong,HKG,2012,18.64948
Hong Kong,HKG,2013,20.3008
Hong Kong,HKG,2014,17.6204
Hungary,HUN,1998,8.73522
Hungary,HUN,1999,9.42253
Hungary,HUN,2000,10.32352
Hungary,HUN,2001,10.45495
Hungary,HUN,2002,10.17901
Hungary,HUN,2003,11.82985
Hungary,HUN,2004,11.00593
Hungary,HUN,2005,10.80056
Hungary,HUN,2006,10.32768
Hungary,HUN,2007,10.33821
Hungary,HUN,2008,10.27063
Hungary,HUN,2009,9.86443
Hungary,HUN,2010,9.68474
Hungary,HUN,2011,9.30398
Iceland,ISL,1998,16.71814
Iceland,ISL,1999,15.58284
Iceland,ISL,2000,15.75082
Iceland,ISL,2001,16.22192
Iceland,ISL,2002,17.10422
Iceland,ISL,2003,16.39488
Iceland,ISL,2004,16.82493
Iceland,ISL,2005,17.80961
Iceland,ISL,2006,17.92521
Iceland,ISL,2007,17.21768
Iceland,ISL,2008,13.03326
Iceland,ISL,2009,15.16028
Iceland,ISL,2010,14.60396
Iceland,ISL,2011,15.41527
India,IND,1997,10.74359
India,IND,1998,14.77773
India,IND,1999,17.64342
India,IND,2000,17.49648
India,IND,2003,12.92223
India,IND,2004,11.55219
India,IND,2005,11.53216
India,IND,2006,11.78109
India,IND,2009,10.82184
India,IND,2010,11.74278
India,IND,2011,13.67652
India,IND,2012,14.06268
Indonesia,IDN,2001,11.59399
Indonesia,IDN,2002,14.36723
Indonesia,IDN,2003,16.27864
Indonesia,IDN,2004,14.1703
Indonesia,IDN,2005,15.1488
Indonesia,IDN,2007,14.94431
Indonesia,IDN,2008,13.67475
Indonesia,IDN,2009,19.30844
Indonesia,IDN,2010,16.65418
Indonesia,IDN,2011,18.06186
Indonesia,IDN,2012,18.09042
Indonesia,IDN,2013,17.59418
Iran,IRN,1999,20.11292
Iran,IRN,2000,20.63385
Iran,IRN,2001,24.42417
Iran,IRN,2002,26.33352
Iran,IRN,2003,21.65296
Iran,IRN,2004,21.47405
Iran,IRN,2005,22.32196
Iran,IRN,2006,19.34813
Iran,IRN,2007,19.87443
Iran,IRN,2008,20.57943
Iran,IRN,2009,18.02354
Iran,IRN,2010,18.80435
Iran,IRN,2011,19.1267
Iran,IRN,2012,17.03431
Iran,IRN,2013,21.67391
Iran,IRN,2014,19.67193
Ireland,IRL,1998,12.38154
Ireland,IRL,1999,12.18244
Ireland,IRL,2000,13.38861
Ireland,IRL,2001,12.59213
Ireland,IRL,2002,12.43247
Ireland,IRL,2003,12.75296
Ireland,IRL,2004,13.54971
Ireland,IRL,2005,13.58013
Ireland,IRL,2006,13.42976
Ireland,IRL,2007,13.12946
Ireland,IRL,2008,13.01657
Ireland,IRL,2009,13.04314
Ireland,IRL,2010,9.29551
Ireland,IRL,2011,12.68265
Ireland,IRL,2012,13.83413
Israel,ISR,2000,12.72266
Israel,ISR,2001,12.72572
Israel,ISR,2002,12.6119
Israel,ISR,2003,12.68165
Israel,ISR,2004,12.60446
Israel,ISR,2005,12.50637
Israel,ISR,2006,12.92004
Israel,ISR,2007,12.88462
Israel,ISR,2008,13.04756
Israel,ISR,2009,12.91916
Israel,ISR,2010,13.25932
Israel,ISR,2011,13.49082
Italy,ITA,1998,9.2389
Italy,ITA,1999,9.54947
Italy,ITA,2000,9.44847
Italy,ITA,2001,9.82544
Italy,ITA,2002,9.50514
Italy,ITA,2003,9.64084
Italy,ITA,2004,9.38801
Italy,ITA,2005,9.01373
Italy,ITA,2006,9.52719
Italy,ITA,2007,8.80193
Italy,ITA,2008,9.20517
Italy,ITA,2009,8.86717
Italy,ITA,2010,8.72395
Italy,ITA,2011,8.43019
Jamaica,JAM,2000,16.7966
Jamaica,JAM,2001,19.99115
Jamaica,JAM,2002,18.36393
Jamaica,JAM,2003,13.36234
Jamaica,JAM,2004,11.73302
Jamaica,JAM,2005,14.26937
Jamaica,JAM,2007,17.17305
Jamaica,JAM,2008,19.11938
Jamaica,JAM,2009,17.55284
Jamaica,JAM,2010,16.10294
Jamaica,JAM,2011,18.58193
Jamaica,JAM,2012,18.80926
Jamaica,JAM,2013,20.57386
Jamaica,JAM,2014,21.79749
Japan,JPN,1998,10.2068
Japan,JPN,1999,10.33425
Japan,JPN,2000,9.93041
Japan,JPN,2001,9.63897
Japan,JPN,2002,9.85811
Japan,JPN,2003,9.94637
